,0,1,2,3,4,5,6,7,8,9,10
0,№,Код станции,Код станции,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
1,№,междуна-родный,региональ-ный,Название станции,Кодсейсмологическогоцентра,"Широта,гр. N","Долгота,гр. E","Высотастанции,м.","Датаоткрытия,дд.мм.гггг","Датазакрытия,дд.мм.гггг",Типстанции
255,254,LABN,LABN,Лабинск,OBGSR,44.6413,40.7236,290,26.09.2008,,rds
256,255,LACR,LAC,Лац,NOGSR,42.8255,44.2958,1287,23.07.2004,29.09.2009,rds
257,256,LACR,LAC,Лац,NOGSR,42.827,44.296,1276,29.09.2009,,rds
258,257,LAGR.TSU,ЛГН,Лагунное,SAGSR,44.0556,145.786,28,01.10.2011,11.06.2015,tds
259,258,LAVR,LAVR,Лаврентия,NEGSR,65.5849,-171.012,18,15.12.2005,,rds
260,259,LBGK,LBG,Лебяжка,OBGSR,52.025,53.585,148,27.07.2013,,lds
261,260,LGNR,LGN,Логинов,KAGSR,56.083,160.69,2530,01.09.1999,,lds
262,261,LOPUX,LOPUX,Лопухинка,OBGSR,59.732,29.388,148,08.12.2014,,rds
263,262,LPSR,LPSR,Галичья гора,VMGSR,52.601,38.929,136,08.08.2007,,wds
264,263,LSH,LSH,Лешуконское,FCIAR,64.8786,45.7338,60,18.10.2006,,rds
265,264,LSN4,LSNR,Лесное,SAGSR,46.96,143.028,32,02.06.2010,,lds
266,265,LSNR,LSN,Лескен,NOGSR,43.278,43.826,715,28.12.2006,21.03.2007,rds
